algo,M,N,K,runs,ms_mean,ms_min,gflops_mean,gflops_max,valid_rate
naive 16x16,256,256,256,50,0.50451656,0.075776,154.532262,442.811,1.0
shared 32x8 tk32,256,256,256,50,169.81273048,0.049152,168.082839814,682.667,1.0
vectorized 32x8,256,256,256,50,0.4531642,0.069632,152.4653486,481.882,1.0
vec-opt 64x64,256,256,256,50,0.41271752,0.057344,188.1454592,585.143,1.0
tensorcore wmma16,256,256,256,50,178.60490016,0.04096,193.036520092,819.2,1.0
naive 16x16,512,512,512,50,0.12057088,0.105344,2257.289,2548.18,1.0
shared 32x8 tk32,512,512,512,50,68.67671935999999,0.124928,1498.36287986,2148.72,1.0
vectorized 32x8,512,512,512,50,0.17410624,0.151584,1564.1480000000001,1770.87,1.0
vec-opt 64x64,512,512,512,50,0.04817408,0.031744,6015.081,8456.26,1.0
tensorcore wmma16,512,512,512,50,73.28257296,0.016384,6146.55083498,16384.0,1.0
naive 16x16,1024,1024,1024,50,0.861235,0.75264,2530.9798,2853.27,1.0
shared 32x8 tk32,1024,1024,1024,50,164.31340312,0.877568,1678.1971482,2447.09,1.0
vectorized 32x8,1024,1024,1024,50,0.9922348,0.826368,2288.44962,2598.7,1.0
vec-opt 64x64,1024,1024,1024,50,0.15673472,0.13824,13762.568,15534.5,1.0
tensorcore wmma16,1024,1024,1024,50,70.9979352,0.121856,10094.581202,17623.1,1.0
naive 16x16,2048,2048,2048,50,7.3434182,5.8665,2594.96576,2928.47,1.0
shared 32x8 tk32,2048,2048,2048,50,1035.3269808,7.04614,1640.8734974,2438.19,1.0
vectorized 32x8,2048,2048,2048,50,10.4272014,6.07232,2406.96474,2829.21,1.0
vec-opt 64x64,2048,2048,2048,50,1.23640636,0.981248,15668.5718,17508.2,1.0
tensorcore wmma16,2048,2048,2048,50,160.173838,1.09158,8860.2265774,15738.5,1.0
naive 16x16,4096,4096,4096,50,68.886806,47.652,2531.11914,2884.22,1.0
shared 32x8 tk32,4096,4096,4096,50,9022.555832,55.0461,1745.6945294,2496.8,1.0
vectorized 32x8,4096,4096,4096,50,64.288482,49.103,2544.8592399999998,2798.99,1.0
vec-opt 64x64,4096,4096,4096,50,8.9100704,7.4935,17003.6678,18341.1,1.0
tensorcore wmma16,4096,4096,4096,50,818.14665,10.1131,7847.311226,13590.2,1.0
